Country,Population
China,1439323776
India,1380004385
UnitedStates,331002651
Indonesia,273523615
Pakistan,220892340
Brazil,212559417
Nigeria,206139589
Bangladesh,164689383
Russia,145934462
Japan,126476461
Mexico,128932753
Philippines,109581078
Vietnam,97338579
Ethiopia,114963588
Egypt,102334404
Iran,83992949
Turkey,84339067
Thailand,69799978
DRCongo,89561403
Germany,83783942
